lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-0001	904.0	562.0	1589.0	1378.0	428.0	3162.0	4794.0	3340.0	928.0	4897.0	2798.0	2872.0	1865.0	3336.0	696.0	1251.0	1665.0	695.0	1344.0	1294.0	3818.0	903.0	3945.0	3557.0	843.0	5478.0	6914.0	5226.0	3707.0	3244.0	239.0	475.0	416.0	2540.0	81102.0	1176652.0	1645965.156974
sub-0002	893.0	664.0	2011.0	1658.0	318.0	2821.0	4145.0	3211.0	965.0	4582.0	2664.0	2878.0	1952.0	3960.0	562.0	1193.0	1661.0	812.0	1466.0	1483.0	4004.0	1048.0	4597.0	3254.0	875.0	5938.0	6745.0	4856.0	3897.0	4112.0	240.0	433.0	499.0	2435.0	82828.3	1109034.0	1532434.569777
sub-0003	687.0	506.0	1954.0	1463.0	494.0	2712.0	2945.0	2510.0	895.0	3888.0	2417.0	2843.0	1887.0	2482.0	614.0	1268.0	1640.0	626.0	1211.0	1490.0	3672.0	1014.0	3963.0	3283.0	681.0	5126.0	6103.0	5039.0	3550.0	3734.0	249.0	438.0	388.0	1977.0	73747.1	1059509.0	1464555.690832
sub-0004	1099.0	860.0	2547.0	1666.0	444.0	3220.0	4073.0	3780.0	935.0	4975.0	3096.0	2950.0	2040.0	3574.0	622.0	1354.0	1588.0	738.0	1543.0	1621.0	4391.0	1624.0	4869.0	3674.0	831.0	6025.0	7085.0	5186.0	3970.0	4289.0	251.0	477.0	414.0	2422.0	88226.8	1171454.0	1625993.935214
sub-0005	1043.0	736.0	2580.0	2002.0	697.0	3248.0	4032.0	3357.0	1307.0	6584.0	3285.0	3588.0	2213.0	3353.0	628.0	1375.0	2087.0	793.0	1509.0	1668.0	4700.0	1358.0	5732.0	4660.0	1165.0	7111.0	8463.0	5651.0	4650.0	5469.0	298.0	550.0	605.0	2709.0	99187.1	1386463.0	2006236.729125
sub-0006	921.0	529.0	1937.0	1498.0	350.0	2567.0	4228.0	2895.0	801.0	4941.0	2508.0	2542.0	1722.0	3037.0	545.0	1298.0	1214.0	549.0	1020.0	1377.0	3200.0	1064.0	4120.0	3148.0	577.0	4908.0	6501.0	4820.0	3553.0	3252.0	220.0	374.0	468.0	2388.0	75019.3	1025592.0	1316058.00359
sub-0007	1145.0	384.0	2325.0	1474.0	493.0	3346.0	5018.0	3402.0	998.0	5295.0	2911.0	3265.0	1931.0	3736.0	609.0	1517.0	1937.0	829.0	1837.0	1262.0	4303.0	958.0	5117.0	4032.0	936.0	6839.0	8372.0	5397.0	4289.0	4439.0	252.0	512.0	485.0	2389.0	92021.0	1297776.0	1846820.687239
sub-0008	1035.0	642.0	2406.0	1435.0	502.0	3444.0	4561.0	3864.0	1283.0	5176.0	2647.0	3149.0	1924.0	3210.0	786.0	1234.0	1461.0	843.0	1290.0	1456.0	4088.0	1285.0	4679.0	3645.0	844.0	5999.0	6793.0	5237.0	4402.0	4619.0	252.0	455.0	454.0	2520.0	87614.4	1165332.0	1612801.430198
sub-0009	1107.0	844.0	2665.0	1655.0	546.0	3943.0	5263.0	4756.0	911.0	5051.0	3045.0	2915.0	2664.0	3818.0	805.0	1470.0	1582.0	954.0	1575.0	1295.0	4903.0	1433.0	5618.0	4001.0	971.0	7787.0	8864.0	5574.0	4458.0	4557.0	332.0	666.0	505.0	2556.0	98991.9	1376155.0	1991768.464478
sub-0010	1218.0	554.0	1848.0	1266.0	298.0	3664.0	5273.0	3630.0	908.0	5537.0	2308.0	2471.0	1803.0	3139.0	621.0	1096.0	1455.0	680.0	1335.0	1375.0	3807.0	1103.0	4308.0	3160.0	711.0	4666.0	5827.0	4054.0	3282.0	3474.0	257.0	400.0	374.0	2057.0	77957.1	1141003.0	1619518.699696
