csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37	motion_outlier38	motion_outlier39	motion_outlier40	motion_outlier41	motion_outlier42	motion_outlier43	motion_outlier44	motion_outlier45	motion_outlier46	motion_outlier47	motion_outlier48
358970.28125	n/a	n/a	128859662820.7041	258293.0	n/a	66715273849.0	n/a	255135.1875	n/a	n/a	65093963900.660164	n/a	n/a	n/a	-0.025713148199999997	-0.0177595134	-0.0301866816	-0.069940813	-0.053586309299999996	-0.037306349	-0.0137507207	0.012059074199999999	-0.0231143727	0.0243211352	-0.0918686474	0.030731602099999998	-0.0104740926	0.0293289107	-0.02601853	0.0068523772	-0.0193788149	0.0172493004	-0.0021759685999999997	0.0888513267	-0.0766175134	0.0213344996	-0.013997999399999999	0.024388902200000003	-0.0106727677	0.031825751400000005	-0.0412577245	0.011878406599999999	-0.0569584387	-0.032664658199999995	-0.0124035725	0.0090146402	-0.0204922853	0.0694384021	-0.07413981389999999	0.048073785099999995	-0.0195296385	0.0170722957	-0.012000298700000002	0.024602900299999998	-0.0216977755	0.040938867000000004	-0.0389356346	0.10523346509999999	-0.055413785800000004	0.0037397184	-0.0786887914	0.0830442616	0.083040607	0.083034516	0.0830259889	0.0830150259	0.0830016274	0.0829857937	0.08296752519999999	0.05474169999999999	n/a	n/a	0.002996653718889999	0.00818855	n/a	6.705235110249999e-05	n/a	-0.0928094	n/a	0.00861358472836	n/a	0.00015790700000000002	n/a	n/a	2.4934620649000005e-08	-0.000715374	n/a	n/a	5.117599598759999e-07	-0.0009611620000000002	n/a	n/a	9.238323902440005e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
358435.0	-535.28125	286526.0166015625	128475649225.0	258403.875	110.875	66772562615.015625	12293.265625	254798.71875	-336.46875	113211.2197265625	64922387076.6416	0.985069	21.859055	0.11142195	-0.0860785877	-0.015704237	-0.022586865499999997	0.039368164500000004	-0.0520726709	-0.044726684800000006	0.0022892809	0.006302063	-0.0297746558	0.032511590699999995	-0.0720740218	0.0571227468	-0.0113304062	-0.0403944866	-0.015292745600000001	0.0707072165	0.0032882884999999996	0.0289502139	0.0163310653	0.0289671908	0.0430095199	0.0401310544	-0.0029799106	0.0012807358	-0.0149506907	0.054780900800000004	-0.0014972774	0.047246522400000004	-0.0571992632	-0.037873883399999995	-0.0020425879999999997	0.008057067900000001	-0.0340735607	0.0378988983	-0.057410760400000004	0.0880570031	-0.0013996395000000002	-0.023602560800000002	0.0335421314	-0.0198226482	-0.02246045	0.005700261	-0.1057508329	0.06793047370000001	0.011647206799999999	0.0095660077	-0.0433071118	0.083034516	0.0830016274	0.08294682269999999	0.0828701163	0.0827715286	0.0826510855	0.0825088188	0.0823447662	0.0504582	-0.004283499999999989	1.8348372249999906e-05	0.00254602994724	0.0337163	0.02552775	0.0011367888856899998	0.0006516660200624999	-0.118059	-0.0252496	0.013937927481	0.0006375423001599999	0.000304729	0.00014682199999999998	2.1556699684e-08	9.2859763441e-08	0.000259624	0.000974998	9.506211000039999e-07	6.7404621376e-08	-0.000966564	-5.401999999999728e-06	2.918160399999707e-11	9.342459660959999e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
358476.375	41.375	1711.890625	128505311433.14062	258613.28125	209.40625	66880829238.8916	43850.9775390625	255208.34375	409.625	167792.640625	65131298719.618164	1.223878	27.158314	0.3575470000000001	-0.0673492614	0.0016949642999999999	0.08117466059999999	0.0539894326	-0.05651382570000001	-0.060633529400000004	0.0438548893	-0.0174033532	-0.0411474008	-0.0220449873	0.0162245577	0.1247632448	-0.0512071421	-0.11585698380000001	-0.0764233846	0.0594692322	0.0385726221	0.1349662124	0.1576359144	0.0237600023	-0.0674295069	0.0460095295	0.0042131101	-0.0235114685	0.0574612299	0.0211845752	0.0767427354	0.0417760217	-0.0643350666	-0.0581400821	0.045184255599999994	-0.0150200004	-0.060166527699999986	-0.0716445995	-0.0409225064	0.1328360213	-0.0274270656	-0.10854881039999999	-0.0001502961	-0.10319860900000001	0.0612867676	-0.014910387800000001	-0.16410149470000002	0.1914225366	0.027129382	0.0957276276	-0.08158946780000001	0.0830150259	0.08292368650000001	0.0827715286	0.0825586637	0.08228524799999999	0.0819514821	0.0815576107	0.0811039227	0.0901909	0.0397327	0.0015786874492900002	0.008134398442810001	0.097378	0.06366169999999999	0.009482474884000001	0.004052812046889997	-0.234239	-0.11617999999999998	0.05486790912099999	0.013497792399999995	0.00157943	0.001274701	1.6248626394010004e-06	2.4945991249e-06	0.00118409	0.000924466	8.546373851560001e-07	1.4020691281000002e-06	-0.000406279	0.000560285	3.13919281225e-07	1.65062625841e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
361198.65625	2722.28125	7410815.204101562	130464469276.80565	258807.9375	194.65625	66981548513.003914	37891.0556640625	256982.703125	1774.359375	3148351.1916503906	66040109705.431885	1.245324	27.634203000000007	0.1933158	0.043817992699999996	0.067438037	0.1099077697	-0.0065177777000000004	-0.0660932059	-0.0469711245	0.0392564479	-0.034020506	-0.0705449264	-0.1348728918	-0.0028300526	0.0356240761	-0.10358406	-0.0106196521	-0.0886537824	0.0184532303	-0.006072212	0.0631394744	0.0972142748	0.0115578833	-0.054322799299999995	-0.0334436084	0.0374224827	-0.0099387509	0.14284099449999998	-0.0393309945	0.0073514294999999985	0.0215519012	-0.07114467370000001	-0.050639751399999995	0.054015764699999996	-0.01592924	-0.0822565757	-0.098482551	-0.0851482897	-0.026319040499999998	-0.0709096822	-0.0125088375	-0.010607521699999999	-0.0387066434	-0.0041895176000000004	-0.0449140455	-0.10034847960000001	0.165199865	-0.025878461000000002	0.0805745078	0.0007450699000000001	0.0829857937	0.0828068209	0.0825088188	0.0820922158	0.0815576107	0.0809057719	0.0801376364	0.0792543084	0.0947502	0.004559299999999988	2.0787216489999893e-05	0.008977600400039998	0.0969687	-0.00040929999999998745	0.00940292877969	1.6752648999998972e-07	-0.237585	-0.003346000000000016	0.056446632225	1.1195716000000104e-05	0.00367946	0.00210003	4.4101260009e-06	1.3538425891599996e-05	-0.00032297	-0.0015070600000000002	2.2712298436000003e-06	1.043096209e-07	-0.000499213	-9.293399999999996e-05	8.636728355999996e-09	2.49213619369e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
362080.53125	881.875	777703.515625	131102311110.28226	258876.25	68.3125	67016912814.0625	4666.59765625	257139.53125	156.828125	24595.060791015625	66120738531.46973	1.105705	24.536015	0.1644882	0.09697451189999999	0.0308559619	-0.0893134056	0.0103381153	-0.0644424558	-0.053922249699999994	0.040514494	-0.0403506232	-0.0499349956	-0.045529661799999996	0.027708922400000002	0.08065799629999999	-0.13200450619999998	0.0055992391	0.017761126000000002	0.0056745888	-0.0619407922	-0.04619702059999999	0.0266096288	-0.0194078487	-0.0576202692	-0.0250001051	0.0478166887	0.1210261468	-0.0197314097	-0.0709657471	-0.0663463959	-0.004496529799999999	-0.0695598695	-0.04732174	0.0416362319	-0.026196880899999997	-0.0607004231	-0.10655602019999999	-0.0693667625	0.009219299399999999	-0.09369059689999999	-0.0435917459	0.0244323562	-0.0235162053	-0.009489376899999999	-0.057427668099999996	-0.0178641781	0.1174862825	-0.0012337766	0.0347198807	-0.0358411475	0.08294682269999999	0.0826510855	0.082158971	0.0814716484	0.0805907508	0.07951837120000001	0.0782570576	0.07680980679999999	0.07719989999999999	-0.017550300000000005	0.0003080130300900001	0.005959824560009997	0.112481	0.015512299999999991	0.012651975360999998	0.00024063145128999975	-0.278747	-0.041161999999999976	0.07769989000899997	0.001694310243999998	0.00277678	-0.00090268	8.148311823999998e-07	7.7105071684e-06	0.00034629800000000004	0.000669268	4.4791965582399997e-07	1.1992230480400002e-07	-0.000265889	0.000233324	5.4440088975999985e-08	7.0696960321e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
360265.59375	-1814.9375	3293998.12890625	129791298040.04005	258736.984375	-139.265625	66944827083.46899	19394.914306640625	255739.921875	-1399.609375	1958906.4025878904	65402907640.6311	1.1157629999999998	24.759205	0.12201780000000002	0.0183574063	-0.0853549391	-0.0150218266	0.11913487460000001	-0.045470708	-0.0333226399	0.036964789	-0.023332405299999998	-0.0072415452	0.014362232800000001	-0.0241756902	0.1100421015	-0.0884869153	0.0224417362	-0.0093705006	-0.07127889820000001	-0.0492524462	0.1095341894	0.0631051231	-0.0518104074	-0.0134737603	0.0197891956	-0.0300433114	0.0689248303	-0.048661207000000005	-0.0015744656	0.1163815704	-0.0221969609	-0.049666658499999995	-0.028451584900000007	0.0426543279	-0.028394494	-0.0284167835	-0.0377985691	-0.0764314766	0.0649037962	-0.0733221216	-0.047927204400000006	-0.0490332266	-0.0171036371	-0.0368130683	-0.1213257923	-0.062391689199999996	0.151791158	-0.0037627334000000004	0.0140280278	0.005988730899999999	0.0828981175	0.0824565533	0.0817223544	0.08069812650000001	0.0793875044	0.0777951396	0.0759266832	0.0737887663	0.0578246	-0.01937529999999999	0.00037540225008999965	0.0033436843651599994	0.0971149	-0.01536610000000001	0.00943130380201	0.00023611702921000024	-0.224934	0.05381299999999994	0.050595304356000015	0.002895838968999994	0.00277678	0.0	0.0	7.7105071684e-06	-0.00032297	-0.000669268	4.4791965582399997e-07	1.043096209e-07	-0.000265889	0.0	0.0	7.0696960321e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
359246.84375	-1018.75	1037851.5625	129058294744.33693	258501.28125	-235.703125	66822912407.8916	55555.963134765625	255426.75	-313.171875	98076.62329101562	65242824615.5625	1.058531	23.489199	0.11331440000000002	-0.017098666000000002	0.0247272515	-0.06237213110000001	0.012527495500000001	-0.0432454184	-0.0470195528	0.0416192845	-0.0103596203	-0.0228545025	-0.0291657441	-0.0402592809	0.049757217400000005	-0.0686903218	-0.0077878048	0.0118571335	-0.021521276000000002	-0.0267585984	-0.0384640222	0.0119465904	-0.0094979561	0.0261096643	0.0305614074	0.0188894294	0.0336313174	-0.0390957424	-0.0027391576	-0.059592238799999996	0.0455272028	-0.0489600926	-0.0441995308	0.042678637199999994	-0.0111505751	-0.031807219500000004	-0.0244268871	-0.0772574134	-0.000980631	-0.039754608	-0.0307711217	-0.0134686983	-0.013693353500000002	-0.047318264900000004	-0.0483306377	-0.0248376392	0.0581194524	-0.0169416347	0.0475723759	0.010235779	0.0828396838	0.08222331570000001	0.0811994303	0.0797731022	0.0779514008	0.07574335459999999	0.07315990730000001	0.0702138631	0.0624311	0.004606500000000006	2.1219842250000054e-05	0.003897642247210001	0.0800613	-0.017053599999999988	0.006409811757690001	0.00029082527295999964	-0.173324	0.05161000000000002	0.030041208976000006	0.0026635921000000016	0.00255931	-0.00021747	4.72932009e-08	6.5500676761e-06	-0.000384919	-6.1949e-05	3.837678601e-09	1.4816263656099998e-07	-0.000787356	-0.0005214670000000001	2.7192783208900013e-07	6.19929470736e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
359723.21875	476.375	226933.140625	129400794107.86035	259441.828125	940.546875	67310062180.84204	884628.4240722656	255724.078125	297.328125	88404.01391601562	65394804132.8811	1.723416	38.24325200000001	0.50132041	0.0055147708	0.0331994461	0.07688857	-0.0116532301	-0.035151492799999996	0.0209091146	-0.0333638413	0.0023302906	-0.017492251	0.013292770800000001	0.0094787535	-0.0654169919	0.0223960308	-0.060849127999999995	-0.0688444213	0.0472347459	0.0356127005	-0.0038928921000000003	-0.0084605605	0.0218186046	0.0139804273	-0.0050349444	-0.008499871800000001	-0.038670745	0.0884385364	-0.011252941200000002	-0.025895875699999998	0.0417638783	-0.033909976200000004	0.023269160499999997	-0.0468635355	0.0047528688	-0.0062787403	0.0204650975	0.0394937119	-0.0276264382	0.00023479	-0.0095367478	0.0022294193	-0.0317431819	0.0669132171	0.0871793641	-0.0060606603	-0.0559191206	0.020376643899999998	0.0019766299	0.1044863145	0.0827715286	0.0819514821	0.0805907508	0.0786983123	0.0762866522	0.0733716817	0.0699726326	0.0661119306	0.0545925	-0.007838600000000008	6.144364996000013e-05	0.0029803410562499995	0.00945319	-0.07060811	8.936280117610001e-05	0.0049855051977721	0.0160452	0.1893692	0.00025744844303999994	0.035860693908639996	-0.000547098	-0.003106408	9.649770662464e-06	2.99316221604e-07	0.0005125969999999999	0.0008975159999999998	8.055349702559999e-07	2.62755684409e-07	-0.00012119	0.000666166	4.4377713955600007e-07	1.46870161e-08	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
360821.375	1098.15625	1205947.1494140623	130192064656.89062	259407.9375	-33.890625	67292478038.003914	1148.574462890625	255885.140625	161.0625	25941.12890625	65477205192.676025	1.000761	22.207258	0.06694009500000002	0.0485421511	0.038387517999999995	-0.048764975499999995	-0.0812954072	-0.0357551881	0.022779394799999998	-0.0334307767	-0.0158409047	-0.0342942791	0.004526	0.011628125800000002	-0.046419083	0.0178607517	-0.0047400986	0.0151385271	0.0400726815	-0.023380497000000004	-0.1322950077	-0.0409168273	0.0484381397	-0.025707673700000003	-0.031737352	0.0195343421	0.042724184500000005	-0.0031785109	-0.0056182158	-0.11970446970000001	0.0128679348	-0.0351866367	0.0235169059	-0.044955672800000006	-0.004635050900000001	-0.0294201673	0.0092047294	0.017699378999999998	-0.0471813878	0.0112148498	0.024372948399999997	0.05097048269999999	-0.0049106981	0.0260797903	0.1127028093	0.0652231412	-0.041722462099999996	0.0134857536	0.0039804388000000005	0.0713513682	0.08269365969999999	0.0816411802	0.0798969589	0.0774757746	0.0743981418	0.0706901371	0.06638317839999999	0.061513758200000004	0.0360272	-0.018565299999999996	0.00034467036408999973	0.0012979591398400005	0.00946466	1.1469999999999534e-05	8.957978891559999e-05	1.3156089999998936e-10	-0.00232554	-0.01837074	5.4081362916e-06	0.0003374840881476	-0.000378889	0.00016820899999999995	2.8294267680999982e-08	1.4355687432100006e-07	0.000243354	-0.000269243	7.249179304899997e-08	5.922116931600001e-08	4.12097e-05	0.0001623997	2.6373662560089998e-08	1.69823937409e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
360434.15625	-387.21875	149938.3603515625	129912780991.6494	259220.359375	-187.578125	67195194714.50415	35185.552978515625	255365.015625	-520.125	270530.015625	65211291205.1565	0.992312	22.019772	0.181458435	0.0515899959	0.0136660346	0.022646387400000002	0.011560589	-0.0201826564	0.0173784251	-0.0148184461	-0.0251793479	-0.011497925	0.0416647504	0.0027782214	-0.052689799800000006	0.0729309034	0.0366097625	-0.0272582725	0.010606672	0.00034260519999999996	-0.01349851	-0.035797063500000004	0.020493074099999998	-0.0685092934	-0.0079804039	0.0056397926000000004	0.0198545959	0.0269102271	-0.0190030602	0.037434666299999995	-0.0060466516	-0.0168204983	0.020848379	-0.0224935783	-0.0224941421	-0.011833255400000001	0.0637177975	0.05644848349999999	-0.023904972000000003	0.0251589223	0.0524835888	0.0158597904	-0.010874159199999999	0.0387319156	0.0939246271	0.07733755219999999	0.0098642563	-0.0391204241	-0.0711331065	0.0504828671	0.0826060864	0.0812925556	0.0791187872	0.0761077842	0.0722914088	0.067710046	0.0624121757	0.05645386	0.029428	-0.0065992000000000064	4.354944064000009e-05	0.0008660071839999997	-0.0369712	-0.04643586	0.0013668696294399994	0.0021562890939396	-0.0952436	-0.09291806	0.00907134334096	0.008633765874163599	-0.000918788	-0.0005398989999999999	2.9149093020099987e-07	8.441713889440002e-07	0.00017031900000000002	-7.3035e-05	5.334111225e-09	2.9008561761000007e-08	0.00013838200000000002	9.717230000000002e-05	9.442455887290003e-09	1.9149577924000006e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
