Measure:volume	wm-lh-bankssts	wm-lh-caudalanteriorcingulate	wm-lh-caudalmiddlefrontal	wm-lh-cuneus	wm-lh-entorhinal	wm-lh-fusiform	wm-lh-inferiorparietal	wm-lh-inferiortemporal	wm-lh-isthmuscingulate	wm-lh-lateraloccipital	wm-lh-lateralorbitofrontal	wm-lh-lingual	wm-lh-medialorbitofrontal	wm-lh-middletemporal	wm-lh-parahippocampal	wm-lh-paracentral	wm-lh-parsopercularis	wm-lh-parsorbitalis	wm-lh-parstriangularis	wm-lh-pericalcarine	wm-lh-postcentral	wm-lh-posteriorcingulate	wm-lh-precentral	wm-lh-precuneus	wm-lh-rostralanteriorcingulate	wm-lh-rostralmiddlefrontal	wm-lh-superiorfrontal	wm-lh-superiorparietal	wm-lh-superiortemporal	wm-lh-supramarginal	wm-lh-frontalpole	wm-lh-temporalpole	wm-lh-transversetemporal	wm-lh-insula	wm-rh-bankssts	wm-rh-caudalanteriorcingulate	wm-rh-caudalmiddlefrontal	wm-rh-cuneus	wm-rh-entorhinal	wm-rh-fusiform	wm-rh-inferiorparietal	wm-rh-inferiortemporal	wm-rh-isthmuscingulate	wm-rh-lateraloccipital	wm-rh-lateralorbitofrontal	wm-rh-lingual	wm-rh-medialorbitofrontal	wm-rh-middletemporal	wm-rh-parahippocampal	wm-rh-paracentral	wm-rh-parsopercularis	wm-rh-parsorbitalis	wm-rh-parstriangularis	wm-rh-pericalcarine	wm-rh-postcentral	wm-rh-posteriorcingulate	wm-rh-precentral	wm-rh-precuneus	wm-rh-rostralanteriorcingulate	wm-rh-rostralmiddlefrontal	wm-rh-superiorfrontal	wm-rh-superiorparietal	wm-rh-superiortemporal	wm-rh-supramarginal	wm-rh-frontalpole	wm-rh-temporalpole	wm-rh-transversetemporal	wm-rh-insula	Left-UnsegmentedWhiteMatter	Right-UnsegmentedWhiteMatter	lhCerebralWhiteMatterVol	rhCerebralWhiteMatterVol	CerebralWhiteMatterVol	MaskVol	EstimatedTotalIntraCranialVol
sub-0001	2937.9	2959.7	5550.4	2741.0	927.4	7246.5	10879.8	7051.2	3824.3	11566.3	7258.1	6060.2	3901.2	6514.9	1614.5	4437.8	3768.4	1153.9	3319.1	3398.1	7632.5	4070.7	12073.3	9755.5	2221.2	12386.2	18098.8	13671.7	8046.3	8413.8	251.9	713.6	863.4	10786.7	4024.2	3001.4	4569.6	2597.3	776.6	7603.7	12186.5	7453.4	4012.3	11697.1	7155.2	6930.5	4735.6	6615.3	1665.4	5217.0	2825.3	1373.2	3482.4	3489.6	7165.1	4470.4	13160.1	9365.1	1727.2	13462.4	18435.3	12089.2	6530.2	7906.2	458.3	578.4	596.5	10342.3	38621.8	40180.4	243463.909	245374.166604	488838.075604	1486575.0	1645965.156974
sub-0002	2246.5	2626.0	6434.5	2941.6	649.2	5284.9	8740.0	6446.6	3671.9	8973.5	6821.9	5491.3	3939.3	6553.4	1303.5	3886.9	3417.9	1202.9	3321.4	3730.8	7417.9	4446.7	13204.5	7136.9	2301.2	12458.3	16858.4	10592.3	7805.8	8848.2	262.6	584.9	795.0	10338.9	2728.8	2465.9	5495.2	2435.0	616.4	6100.8	11591.1	6052.4	2774.5	9136.6	6941.1	4893.8	3390.7	6628.9	1636.5	4897.0	3017.8	1467.9	3467.9	3699.0	6812.9	3472.8	13092.3	7983.0	2093.7	13006.5	16869.6	11719.2	6869.6	8161.6	272.0	433.0	502.1	9193.8	26081.8	29843.7	216954.671147	217472.244477	434426.915624	1373642.0	1532434.569777
sub-0003	2235.7	2301.8	6390.9	2743.0	1144.4	5957.1	6576.7	5235.5	3558.9	7864.5	6317.4	5575.2	3873.0	4543.4	1573.8	3800.3	3914.7	886.6	3093.1	3971.2	7684.2	4606.3	12206.9	8969.5	2433.9	11752.3	16658.6	12728.2	7909.3	9059.3	308.9	636.3	672.0	8773.4	2728.3	2475.6	5683.4	2762.8	924.0	5852.4	9101.0	5710.2	2928.0	8269.0	6703.9	5714.2	3561.7	6061.1	1584.6	4794.2	3477.3	1161.2	3495.0	3771.6	7109.9	4020.6	12695.8	8656.1	1849.2	11873.4	16108.0	12171.2	6246.6	8680.8	266.4	586.9	494.5	9431.5	31338.9	32092.6	217109.050871	217873.735788	434982.78666	1353630.0	1464555.690832
sub-0004	2614.1	3497.9	7857.8	3291.1	1023.9	7068.8	9113.4	7228.4	3541.9	10993.0	7522.4	5756.6	4290.6	6166.4	1569.4	3694.0	3741.7	1154.7	3634.5	4306.8	8295.5	5492.7	13472.6	8439.1	2352.3	12533.0	17334.9	12751.5	7770.7	9553.7	266.9	727.9	867.8	9627.2	2638.6	3567.5	6058.5	3175.2	813.7	7253.6	10137.5	5394.5	3138.2	12360.6	7849.6	5944.1	3730.2	7429.6	1769.2	4510.6	3710.5	1555.7	3938.0	3688.5	8605.1	4679.9	14180.2	10171.8	1707.7	13745.8	17310.8	10991.3	6803.8	9025.9	350.4	756.4	448.0	9387.7	28539.5	29080.3	233741.186226	233058.666719	466799.852945	1505736.0	1625993.935214
sub-0005	3099.0	2805.7	7936.3	4191.3	1776.4	7555.3	9848.7	8344.5	4985.7	14965.8	9395.1	7470.6	4336.7	6300.2	1748.7	4309.5	5160.4	1516.5	3945.6	4877.1	10275.1	5442.3	19211.1	13049.7	4621.3	18716.0	25290.3	15256.6	11417.8	14198.1	361.9	907.7	1079.7	12374.0	3247.7	3216.8	7324.9	4055.8	1320.6	7830.8	14000.0	7691.1	5405.1	15787.3	9966.7	7623.5	5013.1	7650.4	1728.6	5772.3	3605.4	1755.4	4132.6	4778.1	8836.8	5513.5	20192.5	12754.2	2463.8	15876.0	25873.5	16022.0	8582.2	10601.2	495.7	1142.3	525.4	11381.0	49037.3	50870.4	315363.233761	311151.200607	626514.434368	1758293.0	2006236.729125
sub-0006	3287.1	2322.5	5799.4	2881.1	800.3	6320.6	9942.4	5771.8	3174.5	9700.6	6018.4	4856.9	3435.2	5370.2	1487.0	4214.0	2854.2	849.3	2884.5	3813.6	6513.2	4301.2	12858.6	7848.6	2112.8	11296.8	17861.1	12212.3	8103.0	7770.1	211.3	520.6	792.4	9857.0	2845.6	2840.2	5057.0	3072.8	701.5	5578.7	9826.1	5207.0	3256.6	10231.1	7012.7	6205.4	3530.0	6200.8	1570.7	5366.3	2988.7	1270.7	3280.3	4010.7	7504.2	3978.1	12895.3	8026.3	2006.0	11437.7	17574.5	11654.3	7329.3	7211.3	343.8	471.4	484.5	8704.1	32225.4	32892.0	221488.375617	221667.603846	443155.979463	1279545.0	1316058.00359
sub-0007	3873.7	2425.3	7138.6	2953.4	1261.9	6695.9	11271.5	7463.5	4007.4	11584.5	7534.8	7328.0	3912.0	6566.1	1677.7	4973.0	4021.8	1429.3	4232.6	3360.2	8340.2	3975.7	15088.9	10317.7	3206.4	15519.7	20204.4	14185.3	9212.4	10176.9	289.9	764.3	975.4	10422.7	4380.0	3225.6	6382.0	3212.2	767.8	6645.1	12059.6	5786.7	4116.5	11151.7	9037.0	7185.4	4503.8	6968.3	1963.7	6084.5	4048.4	1996.1	4127.3	3369.2	9345.4	4763.3	15492.8	10028.6	1925.5	14859.6	20594.0	14608.5	8375.2	10140.7	411.1	702.2	641.3	9981.5	37685.1	38608.3	263928.708544	265608.095897	529536.804441	1660131.0	1846820.687239
sub-0008	2915.2	2532.9	7179.2	2695.7	1087.4	7192.6	11059.9	7450.6	4491.0	10841.7	6852.7	5773.2	3877.6	5804.0	1807.1	3965.7	3198.6	1285.3	3021.4	4021.6	7802.8	4483.4	13700.7	8455.1	2494.3	13524.1	17396.8	13021.7	8975.7	10408.5	300.8	618.8	820.1	10743.3	2679.0	2564.5	6227.9	2797.7	981.7	6875.9	12616.9	6836.3	3466.2	10525.5	7431.1	6225.3	4064.5	8183.5	1630.7	4893.2	3181.6	1528.8	3291.3	3917.5	7597.1	4319.4	13902.9	9519.7	2075.3	14316.6	16124.8	10782.9	7866.4	9165.0	410.8	677.6	604.4	10323.1	33025.4	33791.9	241488.464467	238568.267409	480056.731876	1493532.0	1612801.430198
sub-0009	3518.3	3682.1	8027.1	3599.4	1228.3	8975.2	13306.4	9392.1	3761.4	10136.3	8169.1	5843.5	6153.2	7555.2	2061.1	4418.1	3723.2	1416.2	4095.9	3178.0	9392.4	5624.5	17402.5	11622.5	3241.4	19026.5	24180.4	12812.2	9013.6	11850.9	423.8	918.7	999.5	11419.6	1598.3	3596.2	7447.2	2897.0	1118.9	9128.8	13866.4	8492.6	3679.9	12187.0	9398.9	6737.0	4838.1	8940.3	1938.0	4811.9	4098.8	1760.9	4144.4	3170.4	9326.3	5674.0	17223.6	13385.2	2968.2	18147.0	22653.0	12904.9	8062.4	10606.5	383.8	777.1	684.0	10823.7	38835.7	39471.5	285898.979454	283297.528248	569196.507702	1782072.0	1991768.464478
sub-0010	4002.5	2312.9	5511.6	2237.7	536.1	6737.6	10729.6	6594.5	3564.5	11665.2	5477.6	4498.9	3693.8	5653.7	1332.8	3153.2	3076.1	1017.9	3144.8	3420.4	6448.8	4484.0	11599.0	7713.1	2239.0	9644.7	14624.5	9062.2	5349.7	7837.8	288.7	526.3	971.3	9069.4	3200.4	2363.6	5389.9	2741.4	585.7	5608.2	10925.6	5737.9	3216.8	10532.8	6522.1	5566.6	3454.7	5691.0	1178.3	3746.7	2424.2	1140.3	2463.6	3055.9	6744.1	4162.9	12046.2	8376.9	1747.5	13092.2	14805.4	9231.7	5912.7	8263.7	403.9	546.7	564.7	8656.4	21863.7	23170.7	197331.086242	200362.967746	397694.053988	1459787.0	1619518.699696
