lh.aparc.volume	lh_bankssts_volume	lh_caudalanteriorcingulate_volume	lh_caudalmiddlefrontal_volume	lh_cuneus_volume	lh_entorhinal_volume	lh_fusiform_volume	lh_inferiorparietal_volume	lh_inferiortemporal_volume	lh_isthmuscingulate_volume	lh_lateraloccipital_volume	lh_lateralorbitofrontal_volume	lh_lingual_volume	lh_medialorbitofrontal_volume	lh_middletemporal_volume	lh_parahippocampal_volume	lh_paracentral_volume	lh_parsopercularis_volume	lh_parsorbitalis_volume	lh_parstriangularis_volume	lh_pericalcarine_volume	lh_postcentral_volume	lh_posteriorcingulate_volume	lh_precentral_volume	lh_precuneus_volume	lh_rostralanteriorcingulate_volume	lh_rostralmiddlefrontal_volume	lh_superiorfrontal_volume	lh_superiorparietal_volume	lh_superiortemporal_volume	lh_supramarginal_volume	lh_frontalpole_volume	lh_temporalpole_volume	lh_transversetemporal_volume	lh_insula_volume	BrainSegVolNotVent	eTIV
sub-0001	2272.0	1674.0	4844.0	2412.0	2100.0	10247.0	13476.0	11065.0	2514.0	10168.0	8564.0	6029.0	5278.0	12712.0	2172.0	3542.0	5344.0	2617.0	4207.0	1766.0	9405.0	2599.0	12217.0	9927.0	3156.0	15789.0	23563.0	12934.0	13101.0	9311.0	774.0	2835.0	1253.0	8190.0	1176652.0	1645965.156974
sub-0002	2383.0	2090.0	6313.0	3316.0	1769.0	9464.0	11376.0	10788.0	2528.0	10049.0	7978.0	6019.0	4744.0	14141.0	1876.0	3024.0	5456.0	2917.0	4364.0	2014.0	9295.0	3222.0	13409.0	8341.0	3059.0	17031.0	23128.0	12439.0	13015.0	12378.0	1136.0	2409.0	1445.0	7815.0	1109034.0	1532434.569777
sub-0003	1721.0	1474.0	6139.0	2598.0	2152.0	8295.0	8402.0	8597.0	2275.0	8581.0	7338.0	4858.0	5117.0	9397.0	1919.0	3231.0	5116.0	2441.0	3986.0	1902.0	8900.0	2821.0	11540.0	9046.0	2144.0	15735.0	21218.0	12529.0	11353.0	11466.0	1076.0	2658.0	1064.0	7000.0	1059509.0	1464555.690832
sub-0004	2799.0	2419.0	7880.0	3121.0	1631.0	10190.0	11439.0	12086.0	2452.0	10708.0	8830.0	6025.0	5786.0	12475.0	2162.0	3442.0	4597.0	2567.0	4319.0	1977.0	10631.0	4493.0	14201.0	9980.0	2837.0	16752.0	22355.0	12939.0	12489.0	12358.0	985.0	2053.0	1083.0	7496.0	1171454.0	1625993.935214
sub-0005	2848.0	2240.0	7429.0	3986.0	3025.0	9658.0	11044.0	10220.0	3282.0	14408.0	9986.0	8202.0	6403.0	12020.0	2153.0	3526.0	6076.0	2849.0	4275.0	2187.0	11507.0	3297.0	15063.0	12068.0	3249.0	19266.0	25746.0	13702.0	14453.0	14962.0	1245.0	2751.0	1696.0	8242.0	1386463.0	2006236.729125
sub-0006	2288.0	1559.0	5200.0	2623.0	1487.0	8165.0	10970.0	8884.0	2088.0	10630.0	7010.0	5298.0	4562.0	9738.0	1798.0	3138.0	3645.0	1838.0	2894.0	1943.0	6987.0	3116.0	11588.0	8242.0	1893.0	13164.0	18994.0	11185.0	10984.0	9184.0	892.0	2085.0	1064.0	6605.0	1025592.0	1316058.00359
sub-0007	2912.0	965.0	6693.0	2638.0	2379.0	10136.0	13984.0	10987.0	3080.0	11289.0	9347.0	6948.0	5300.0	14145.0	2050.0	3941.0	5683.0	3177.0	5380.0	1420.0	9511.0	2910.0	13398.0	11432.0	3126.0	19354.0	27061.0	12776.0	14757.0	12862.0	1003.0	2918.0	1302.0	8058.0	1297776.0	1846820.687239
sub-0008	2383.0	1620.0	6434.0	2453.0	2008.0	9993.0	11467.0	12256.0	3044.0	10877.0	7907.0	5397.0	5239.0	11323.0	2467.0	2901.0	4383.0	3244.0	3654.0	1708.0	9283.0	3302.0	13202.0	9064.0	2636.0	15883.0	21562.0	12221.0	13118.0	12293.0	1061.0	2427.0	1001.0	7725.0	1165332.0	1612801.430198
sub-0009	2754.0	2614.0	7703.0	3211.0	2742.0	11594.0	14685.0	15732.0	2235.0	12572.0	9451.0	5719.0	7752.0	13228.0	2751.0	3788.0	5118.0	3457.0	3827.0	1793.0	11910.0	4385.0	16633.0	10629.0	3252.0	21380.0	28686.0	14251.0	14601.0	13471.0	1434.0	3354.0	1469.0	8109.0	1376155.0	1991768.464478
sub-0010	3281.0	1926.0	6053.0	3235.0	1621.0	12574.0	15447.0	14515.0	2886.0	12524.0	8377.0	4824.0	5899.0	13158.0	1759.0	3354.0	4986.0	2746.0	4693.0	2115.0	10425.0	3708.0	14343.0	9881.0	3108.0	15685.0	23429.0	11717.0	13357.0	11550.0	1321.0	3383.0	1157.0	8122.0	1141003.0	1619518.699696
sub-0011	2350.0	2002.0	5410.0	3341.0	2261.0	11457.0	14406.0	11941.0	2939.0	12058.0	8076.0	5803.0	5141.0	12678.0	2621.0	3783.0	4466.0	3027.0	4748.0	2093.0	10306.0	3185.0	15019.0	10435.0	2481.0	17444.0	26221.0	16853.0	13519.0	10633.0	1022.0	3089.0	1189.0	7938.0	1194611.0	1707267.820145
