Measure:mean	wm-lh-bankssts	wm-lh-caudalanteriorcingulate	wm-lh-caudalmiddlefrontal	wm-lh-cuneus	wm-lh-entorhinal	wm-lh-fusiform	wm-lh-inferiorparietal	wm-lh-inferiortemporal	wm-lh-isthmuscingulate	wm-lh-lateraloccipital	wm-lh-lateralorbitofrontal	wm-lh-lingual	wm-lh-medialorbitofrontal	wm-lh-middletemporal	wm-lh-parahippocampal	wm-lh-paracentral	wm-lh-parsopercularis	wm-lh-parsorbitalis	wm-lh-parstriangularis	wm-lh-pericalcarine	wm-lh-postcentral	wm-lh-posteriorcingulate	wm-lh-precentral	wm-lh-precuneus	wm-lh-rostralanteriorcingulate	wm-lh-rostralmiddlefrontal	wm-lh-superiorfrontal	wm-lh-superiorparietal	wm-lh-superiortemporal	wm-lh-supramarginal	wm-lh-frontalpole	wm-lh-temporalpole	wm-lh-transversetemporal	wm-lh-insula	wm-rh-bankssts	wm-rh-caudalanteriorcingulate	wm-rh-caudalmiddlefrontal	wm-rh-cuneus	wm-rh-entorhinal	wm-rh-fusiform	wm-rh-inferiorparietal	wm-rh-inferiortemporal	wm-rh-isthmuscingulate	wm-rh-lateraloccipital	wm-rh-lateralorbitofrontal	wm-rh-lingual	wm-rh-medialorbitofrontal	wm-rh-middletemporal	wm-rh-parahippocampal	wm-rh-paracentral	wm-rh-parsopercularis	wm-rh-parsorbitalis	wm-rh-parstriangularis	wm-rh-pericalcarine	wm-rh-postcentral	wm-rh-posteriorcingulate	wm-rh-precentral	wm-rh-precuneus	wm-rh-rostralanteriorcingulate	wm-rh-rostralmiddlefrontal	wm-rh-superiorfrontal	wm-rh-superiorparietal	wm-rh-superiortemporal	wm-rh-supramarginal	wm-rh-frontalpole	wm-rh-temporalpole	wm-rh-transversetemporal	wm-rh-insula	Left-UnsegmentedWhiteMatter	Right-UnsegmentedWhiteMatter
sub-0001	101.3658	99.5477	100.0215	99.0677	89.4226	93.7601	101.3791	97.2269	100.3835	98.4702	96.5361	93.6759	98.6253	99.2716	90.5214	99.7011	100.3706	99.5692	101.8631	95.2218	99.7113	101.4771	100.0709	98.9889	97.3961	99.1246	98.327	100.1161	98.0934	102.8378	96.0766	90.6889	96.393	94.4232	99.0549	98.8457	98.6102	101.2445	87.9285	94.9997	101.6397	96.1071	101.0517	100.3934	98.009	94.8012	98.5413	97.7189	92.7296	99.048	100.3792	100.0575	102.4905	97.3029	98.3636	101.1422	99.2613	99.4737	97.3374	99.2111	97.1316	99.866	97.6602	101.4665	99.7009	90.5996	96.2411	94.4616	99.2782	98.787
sub-0002	101.3226	93.4779	100.2194	98.5424	88.6783	91.6189	100.5913	96.2948	94.7818	97.713	95.217	90.822	94.4418	98.6797	89.1091	98.4065	99.2655	100.6123	101.371	95.1431	99.5805	96.0781	98.6417	95.7385	93.9519	100.1883	97.9991	99.6441	97.6487	101.7437	97.3755	89.2348	93.3246	89.9715	98.2464	93.3848	97.9591	97.358	88.8481	94.6967	100.6704	98.8206	96.1397	100.4794	94.3484	90.893	92.9772	101.0858	91.3026	97.8658	98.0303	102.4814	102.5929	92.5304	98.1903	95.8871	98.3159	96.3459	94.2974	99.4309	96.9302	99.2886	97.909	101.0135	96.3319	89.2923	92.1012	89.959	94.3136	93.867
sub-0003	101.5357	100.8105	98.6882	99.1037	91.9533	95.3012	101.2254	95.691	101.5693	95.9333	99.7706	95.1716	99.2067	96.9254	92.118	98.7033	101.6386	99.2274	102.3181	97.0228	98.7439	100.8363	99.293	100.8579	102.5534	98.8727	98.322	99.9086	98.8759	101.4667	100.2	90.2276	97.0521	95.7098	98.1443	100.5958	97.458	99.9143	87.7052	92.5578	99.6527	93.8152	101.7165	95.5858	98.3225	95.3965	99.6509	95.4167	91.2258	100.1594	99.3139	97.0	98.9986	96.6269	97.4598	100.9745	98.4824	101.2613	101.8392	96.9471	97.6581	99.2497	95.8281	100.5232	96.9069	89.4611	94.0308	94.4548	99.417	99.0378
sub-0004	101.9622	98.977	99.4479	98.5448	90.8413	94.2724	100.4889	97.4473	97.7931	97.382	96.5045	92.4478	96.4058	98.7325	91.8451	97.9678	101.2145	99.0794	101.0762	95.0252	99.5525	99.1713	99.4747	97.4415	98.0034	100.3348	99.0042	98.9745	98.841	101.7981	98.5534	90.2168	98.5119	93.576	100.026	97.7319	99.8639	99.0079	88.2716	94.0803	101.1596	95.2939	98.6315	98.9697	95.8107	93.6138	97.1047	98.1972	91.1156	98.2671	100.9204	98.4933	101.9231	95.7495	99.2953	99.2705	99.4863	98.0688	96.896	99.8188	99.2871	99.1522	98.1435	102.5359	95.453	89.831	95.8804	93.6341	97.5697	97.9152
sub-0005	101.6438	98.4663	98.5612	95.5117	90.0416	94.6712	101.0386	96.6641	96.6532	96.6502	97.1296	91.5578	98.6462	97.1528	91.7619	97.6671	102.0091	101.0164	101.6366	92.2049	100.5692	99.495	99.5702	96.7337	95.8657	100.6263	97.4901	99.1197	100.0738	102.0868	101.6697	90.0981	96.7722	95.6574	100.3717	97.9721	97.4458	96.644	86.6795	92.0869	102.3842	94.0045	98.2431	97.4337	97.4661	91.9684	97.376	96.3879	89.8896	98.4368	100.2887	99.2281	101.6692	93.7533	99.2815	99.6527	98.3409	97.9823	96.054	99.3883	96.9039	100.942	97.7299	101.7779	99.1514	87.8587	95.1673	94.5408	97.9667	97.6749
sub-0006	100.2462	100.4963	100.4448	98.0944	91.4157	93.8827	99.33	95.3546	99.0662	96.3282	97.0922	92.2297	98.8298	97.2385	91.8324	98.8877	101.8102	97.6715	101.8426	95.2518	97.4558	101.3087	99.1137	98.5909	99.1939	99.5279	99.1708	99.0228	99.1391	100.3452	95.5068	92.1266	95.6504	95.2613	98.242	99.4006	99.2513	97.1866	85.4783	91.539	100.1547	92.6395	99.5974	95.9294	96.4305	93.0165	97.407	95.0082	89.6057	99.6307	100.5561	97.3208	100.6985	94.2163	97.0341	101.1874	98.1289	98.5073	99.8594	98.7274	98.0851	99.2578	96.7957	100.5936	97.1485	88.7157	94.019	94.9825	98.6021	98.0217
sub-0007	99.6885	98.9641	97.3385	94.4093	89.1638	91.7083	100.4717	96.5054	98.9509	97.0734	96.2489	91.0914	97.6759	99.7951	89.7213	98.0102	100.001	99.8418	102.0024	91.569	99.2654	99.707	99.1755	96.8897	96.8639	99.2307	97.3786	98.9177	98.6101	102.729	100.972	91.2684	94.9203	92.9007	96.984	97.9777	98.5228	96.5367	88.4631	90.6539	99.6692	94.2142	99.5893	95.4938	95.5865	91.8396	99.191	95.2711	90.3533	99.2867	98.6103	98.914	100.7878	92.8544	99.4134	100.5046	99.3748	97.735	97.4639	99.4516	97.2491	98.4507	95.4749	100.6332	101.4179	90.82	92.0668	92.0866	96.7696	96.8815
sub-0008	100.9989	99.1336	98.9886	99.0319	86.8351	92.6654	100.7753	94.0788	99.4368	97.2737	96.6177	92.7198	99.8383	95.964	90.7705	97.6673	100.5327	97.9901	102.5059	95.0596	98.7528	100.5529	99.0839	98.9029	98.336	99.6387	98.6353	99.0266	98.1085	102.4275	99.6879	85.7284	95.1162	94.4314	99.5888	98.4166	97.9103	98.798	87.5348	93.0927	100.0418	94.5613	99.88	97.3076	98.862	92.5814	99.0476	98.1406	90.8005	97.7432	101.15	100.2816	102.8157	92.6004	96.9235	99.3204	97.3879	98.1416	98.4773	99.4056	97.5992	97.9025	97.8734	100.6087	99.2743	88.4358	94.8083	94.2041	98.7433	97.8818
sub-0009	99.5604	102.2842	100.7061	99.3823	88.3573	93.6249	100.7375	93.9118	100.0817	96.2612	96.2095	95.1531	98.3636	96.7496	92.371	98.195	99.8037	96.0115	100.061	96.0196	98.1011	102.8015	99.1148	99.743	98.0291	99.9822	98.3675	99.855	97.8646	102.6393	100.5163	87.2236	96.2715	93.4329	98.7569	99.558	99.8419	100.3602	86.6357	92.3138	100.6411	93.6863	100.2758	97.0801	95.3153	94.1905	97.7509	97.1987	91.5083	97.3187	100.3968	98.3042	101.0719	95.3915	97.5678	101.9007	98.4881	98.9941	98.585	99.2324	97.3278	99.3633	95.6875	101.485	96.4	86.5131	92.5316	92.5634	98.3132	98.1838
sub-0010	106.8922	100.4861	100.224	100.7743	92.142	97.5969	106.8077	104.4584	99.9983	103.3129	97.6977	93.0526	100.7276	109.5558	92.649	101.1341	101.5635	103.6931	102.1655	98.586	104.5714	99.5808	102.4858	99.3241	98.9025	100.6045	102.1318	100.961	105.308	107.4212	104.206	94.8417	101.0934	92.6396	97.0724	99.0875	98.3388	99.1802	89.8766	91.335	99.9518	96.7332	98.2355	98.4624	96.8728	91.7016	99.0038	100.456	88.1931	99.5939	100.7108	104.493	105.3204	95.0811	100.9888	98.0394	100.3599	97.0442	99.0449	100.8726	100.3751	99.1041	99.7671	101.644	103.1757	94.3204	94.3807	90.5234	96.5334	94.2431
