Measure:volume	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus-Proper	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus-Proper	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	5th-Ventricle	WM-hypointensities	Left-WM-hypointensities	Right-WM-hypointensities	non-WM-hypointensities	Left-non-WM-hypointensities	Right-non-WM-hypointensities	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior	BrainSegVol	BrainSegVolNotVent	BrainSegVolNotVentSurf	lhCortexVol	rhCortexVol	CortexVol	lhCerebralWhiteMatterVol	rhCerebralWhiteMatterVol	CerebralWhiteMatterVol	SubCortGrayVol	TotalGrayVol	SupraTentorialVol	SupraTentorialVolNotVent	SupraTentorialVolNotVentVox	MaskVol	BrainSegVol-to-eTIV	MaskVol-to-eTIV	lhSurfaceHoles	rhSurfaceHoles	SurfaceHoles	EstimatedTotalIntraCranialVol
sub-0001	6725.1	167.3	16076.7	58893.0	8003.8	3931.2	5587.2	2378.4	793.6	1998.8	20013.1	4267.6	1723.9	1072.7	533.9	4273.1	15.5	497.4	6508.3	263.2	19018.3	57012.6	7337.9	3970.7	5710.5	2257.5	4024.2	1800.7	667.0	4197.6	22.2	413.0	0.0	464.8	0.0	0.0	0.0	0.0	0.0	58.4	1199.0	741.9	706.1	568.1	1066.1	1194214.0	1176652.0	1176084.077164	237735.211612	236871.789949	474607.001561	243463.909	245374.166604	488838.075604	61722.0	652839.001561	1041661.077164	1027836.077164	1025695.0	1486575.0	0.72554	0.903163	13.0	20.0	33.0	1645965.156974
sub-0002	3473.3	40.8	12145.6	52696.2	8293.6	4046.9	5926.7	2094.9	644.6	1234.3	17896.7	4252.6	1520.4	844.1	351.3	4013.3	17.2	262.9	3964.4	124.6	16217.0	49219.9	7313.1	4057.0	5846.9	2089.2	3900.1	1580.9	594.2	3718.6	17.5	202.6	0.0	935.3	0.0	0.0	0.0	0.0	0.0	102.9	1032.7	560.3	600.7	533.7	992.6	1119138.0	1109034.0	1108516.089464	239789.654416	242388.519424	482178.17384	216954.671147	217472.244477	434426.915624	61010.0	645732.17384	987853.089464	980313.089464	978049.0	1373642.0	0.730301	0.896379	29.0	22.0	51.0	1532434.569777
sub-0003	4606.9	201.1	17490.7	52067.7	7530.4	3190.3	5033.9	2043.4	753.0	1344.1	18671.6	3969.4	1492.2	987.5	356.4	3957.6	24.6	428.7	4084.3	397.8	17263.6	54057.3	6816.2	3261.9	5045.9	2001.8	3985.0	1619.9	495.3	3855.3	0.0	424.3	0.0	906.1	0.0	0.0	0.0	0.0	0.0	99.1	1129.3	576.4	868.6	581.4	923.1	1071768.0	1059509.0	1058702.462108	213224.94365	214263.731799	427488.675449	217109.050871	217873.735788	434982.78666	55771.0	590000.675449	929852.462108	920475.462108	918976.0	1353630.0	0.731804	0.92426	20.0	23.0	43.0	1464555.690832
sub-0004	6429.3	137.2	14183.1	55764.7	9402.3	3450.8	5265.0	2220.0	1080.7	2440.1	20508.2	4748.0	1702.3	1247.7	379.1	4753.0	12.9	341.0	6485.5	189.4	14781.0	59655.4	8139.4	3665.1	5484.9	2140.2	4798.5	1875.5	415.3	4511.6	19.1	378.0	0.0	375.9	0.0	0.0	0.0	0.0	0.0	94.4	861.4	524.7	817.6	553.9	962.0	1189572.0	1171454.0	1170873.168834	246912.446961	249005.868928	495918.315888	233741.186226	233058.666719	466799.852945	63832.0	676965.315888	1042598.168834	1029062.168834	1027069.0	1505736.0	0.731597	0.92604	35.0	28.0	63.0	1625993.935214
sub-0005	13988.5	326.4	18221.8	58228.5	9801.2	4049.8	5829.1	2531.8	1353.1	2567.5	23107.5	4352.3	1669.4	3326.9	414.2	4628.8	0.0	757.9	12911.4	419.0	16095.7	56179.1	8794.5	4058.8	5876.1	2444.5	4221.0	1997.5	444.0	4637.1	4.3	720.7	0.0	950.1	0.0	0.0	0.0	0.0	0.0	116.7	1533.5	523.9	576.0	636.1	1062.2	1422156.0	1386463.0	1385853.868663	272010.415242	272017.019053	544027.434294	315363.233761	311151.200607	626514.434368	66957.0	726188.434294	1269143.868663	1240543.868663	1238018.0	1758293.0	0.708867	0.876414	15.0	15.0	30.0	2006236.729125
sub-0006	5606.9	48.4	13365.8	46066.3	7689.7	4171.4	4224.4	2027.2	556.8	1614.8	18364.1	3874.2	1461.7	836.5	333.6	4273.6	47.0	213.8	4355.7	31.7	13719.8	47017.1	6683.6	4324.7	4344.7	2029.7	4267.1	1703.2	526.3	4188.9	3.8	201.8	0.0	434.0	0.0	0.0	0.0	0.0	0.0	29.5	1117.2	631.1	552.4	616.7	1010.4	1038323.0	1025592.0	1025191.937043	201458.553827	203842.403753	405300.95758	221488.375617	221667.603846	443155.979463	57081.0	555947.95758	917352.937043	907440.937043	905949.0	1279545.0	0.788964	0.972256	20.0	21.0	41.0	1316058.00359
sub-0007	7356.9	387.8	18528.4	66425.4	9915.1	3953.1	5243.1	2388.5	1017.7	2960.7	26456.0	5051.9	1859.2	1098.2	505.4	5025.6	34.6	424.8	7545.7	366.9	17450.9	67436.5	8513.3	4147.9	5316.5	2373.4	5360.5	2075.4	568.0	4830.8	36.7	469.6	0.0	625.6	0.0	0.0	0.0	0.0	0.0	68.1	1124.8	616.2	544.6	661.5	1173.1	1318429.0	1297776.0	1297611.8781	262443.533509	268065.54015	530509.073659	263928.708544	265608.095897	529536.804441	68223.0	733558.073659	1146366.8781	1130644.8781	1128415.0	1660131.0	0.713891	0.898913	25.0	18.0	43.0	1846820.687239
sub-0008	17319.7	429.3	19300.5	56402.0	7964.8	3661.0	5231.0	2277.9	1677.6	1349.1	21366.5	4644.0	1780.4	1424.6	482.6	4941.0	38.2	886.6	14291.8	323.2	17283.7	56175.0	7161.2	3907.2	5316.1	2284.3	4738.9	1922.4	564.0	4878.7	4.1	677.5	0.0	631.9	0.0	0.0	0.0	0.0	0.0	29.0	1102.5	732.7	624.4	586.4	1139.1	1202777.0	1165332.0	1164766.469748	235330.215244	236759.522628	472089.737872	241488.464467	238568.267409	480056.731876	63429.0	649431.737872	1051520.469748	1018231.469748	1016133.0	1493532.0	0.745769	0.926048	25.0	34.0	59.0	1612801.430198
sub-0009	16391.6	634.3	21405.4	59540.1	9035.2	4058.6	5358.7	2336.9	1872.8	2192.3	24486.0	4618.9	2110.1	2281.1	392.1	4857.1	7.4	748.3	15291.7	345.0	20758.1	60893.7	8401.6	4430.3	5501.5	2380.8	4812.4	2228.8	559.7	4821.7	0.0	698.7	0.0	1082.6	0.0	0.0	0.0	0.0	0.0	132.7	1082.1	494.1	753.0	579.7	1100.5	1416007.0	1376155.0	1374410.68158	285982.192793	288046.981085	574029.173878	285898.979454	283297.528248	569196.507702	67866.0	764333.173878	1248571.68158	1214828.68158	1212721.0	1782072.0	0.71093	0.894718	32.0	39.0	71.0	1991768.464478
sub-0010	3727.7	69.4	18740.5	65573.6	7447.7	4196.3	4947.6	2070.6	774.3	2528.1	22109.7	4276.5	1559.7	873.0	376.6	4603.6	31.8	344.0	3433.4	381.6	15780.1	69576.7	6966.5	4072.0	5043.7	1789.8	4476.1	1698.2	539.4	4265.2	0.0	254.1	0.0	935.9	0.0	0.0	0.0	0.0	0.0	76.6	1067.6	621.5	902.9	741.9	730.4	1152429.0	1141003.0	1139707.161049	255943.198695	257039.908366	512983.107061	197331.086242	200362.967746	397694.053988	59156.0	708083.107061	981157.161049	973672.161049	971074.0	1459787.0	0.711587	0.901371	76.0	61.0	137.0	1619518.699696
