rh.aparc.area	rh_bankssts_area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_frontalpole_area	rh_temporalpole_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-0001	1017.0	612.0	1483.0	1356.0	402.0	3160.0	5332.0	3397.0	918.0	4924.0	2684.0	3087.0	1979.0	3568.0	639.0	1352.0	1126.0	800.0	1394.0	1341.0	3440.0	1161.0	4205.0	3632.0	699.0	5724.0	6919.0	4919.0	3435.0	3172.0	313.0	450.0	264.0	2460.0	81355.0	1176652.0	1645965.156974
sub-0002	1035.0	505.0	2038.0	1532.0	311.0	3201.0	5698.0	3208.0	661.0	4618.0	2681.0	2780.0	1901.0	3725.0	654.0	1430.0	1212.0	905.0	1715.0	1606.0	3553.0	806.0	4593.0	3399.0	488.0	5762.0	6987.0	5342.0	3860.0	3521.0	243.0	350.0	353.0	2206.0	82876.5	1109034.0	1532434.569777
sub-0003	801.0	555.0	1826.0	1462.0	486.0	2722.0	3867.0	2881.0	651.0	3811.0	2496.0	2751.0	1899.0	2888.0	555.0	1312.0	1391.0	745.0	1487.0	1596.0	3436.0	956.0	4139.0	3323.0	466.0	5245.0	6029.0	5337.0	3094.0	3270.0	251.0	398.0	281.0	2128.0	74502.1	1059509.0	1464555.690832
sub-0004	997.0	1046.0	1989.0	1696.0	367.0	3213.0	4854.0	3237.0	878.0	5663.0	3026.0	3109.0	1839.0	3740.0	654.0	1582.0	1419.0	1029.0	1826.0	1569.0	4436.0	1463.0	5036.0	3893.0	695.0	6443.0	6668.0	4672.0	3747.0	3929.0	297.0	511.0	330.0	2184.0	88016.0	1171454.0	1625993.935214
sub-0005	867.0	796.0	2366.0	1878.0	543.0	3343.0	5669.0	3264.0	1392.0	6909.0	3378.0	3592.0	2281.0	3515.0	612.0	1633.0	1423.0	979.0	1598.0	1800.0	4094.0	1307.0	6020.0	4747.0	845.0	6446.0	9154.0	6147.0	3883.0	4061.0	363.0	627.0	341.0	2602.0	98459.4	1386463.0	2006236.729125
sub-0006	789.0	792.0	1806.0	1546.0	336.0	2417.0	4379.0	2638.0	769.0	4740.0	2564.0	3004.0	1804.0	3124.0	588.0	1575.0	1178.0	788.0	1380.0	1623.0	3649.0	1047.0	4142.0	3288.0	528.0	4914.0	6511.0	4626.0	3463.0	2822.0	274.0	339.0	341.0	1893.0	75667.5	1025592.0	1316058.00359
sub-0007	1196.0	914.0	2290.0	1683.0	303.0	3206.0	5448.0	2578.0	1053.0	5135.0	3335.0	3274.0	2204.0	3819.0	671.0	1686.0	1633.0	1232.0	1937.0	1429.0	4475.0	1327.0	5146.0	4138.0	662.0	6515.0	7964.0	5785.0	4269.0	4201.0	308.0	484.0	333.0	2275.0	92842.9	1297776.0	1846820.687239
sub-0008	857.0	712.0	2261.0	1507.0	469.0	2928.0	5594.0	3886.0	953.0	5309.0	2745.0	3323.0	2018.0	3784.0	693.0	1424.0	1374.0	913.0	1373.0	1640.0	3795.0	1321.0	4643.0	3981.0	725.0	6124.0	6268.0	4811.0	3937.0	3800.0	307.0	519.0	395.0	2508.0	86884.1	1165332.0	1612801.430198
sub-0009	762.0	1018.0	2611.0	1633.0	485.0	3670.0	6067.0	4459.0	947.0	5200.0	3499.0	3630.0	2508.0	4139.0	746.0	1424.0	1587.0	1032.0	1611.0	1432.0	4762.0	1616.0	5447.0	4565.0	791.0	7821.0	8439.0	5469.0	3962.0	4119.0	339.0	515.0	422.0	2508.0	99220.7	1376155.0	1991768.464478
sub-0010	1004.0	547.0	1873.0	1532.0	290.0	3197.0	4949.0	3014.0	933.0	5188.0	2439.0	2887.0	1878.0	3109.0	519.0	1185.0	1105.0	716.0	1198.0	1292.0	3665.0	1082.0	4401.0	3520.0	385.0	6069.0	6338.0	4435.0	3321.0	3737.0	339.0	390.0	268.0	1999.0	78800.9	1141003.0	1619518.699696
