name	intensity-avg	volume
Left-wm-bankssts	102.4877	2237.7
Left-wm-caudalanteriorcingulate	99.8965	2415.2
Left-wm-caudalmiddlefrontal	100.0005	6476.6
Left-wm-cuneus	97.2332	3252.1
Left-wm-entorhinal	89.9259	1021.5
Left-wm-fusiform	95.9045	6598.8
Left-wm-inferiorparietal	100.8691	9571.7
Left-wm-inferiortemporal	97.0038	6022.3
Left-wm-isthmuscingulate	100.6396	3266.0
Left-wm-lateraloccipital	97.9905	10668.3
Left-wm-lateralorbitofrontal	98.2324	6626.0
Left-wm-lingual	93.9717	5194.3
Left-wm-medialorbitofrontal	98.9511	3576.4
Left-wm-middletemporal	98.5809	4575.0
Left-wm-parahippocampal	93.4557	1694.1
Left-wm-paracentral	98.2187	3855.2
Left-wm-parsopercularis	99.9152	2737.6
Left-wm-parsorbitalis	99.6328	1065.6
Left-wm-parstriangularis	102.0791	2648.6
Left-wm-pericalcarine	96.2606	3730.9
Left-wm-postcentral	99.1232	8126.7
Left-wm-posteriorcingulate	100.1086	4220.8
Left-wm-precentral	99.9129	13259.0
Left-wm-precuneus	98.2941	8131.9
Left-wm-rostralanteriorcingulate	100.3034	2133.1
Left-wm-rostralmiddlefrontal	100.6523	11530.3
Left-wm-superiorfrontal	100.0655	17757.8
Left-wm-superiorparietal	99.2157	10655.0
Left-wm-superiortemporal	100.601	7569.2
Left-wm-supramarginal	103.1599	8002.7
Left-wm-frontalpole	99.7095	256.8
Left-wm-temporalpole	91.9791	693.4
Left-wm-transversetemporal	97.2226	811.7
Left-wm-insula	95.2546	9183.5
Right-wm-bankssts	98.36399999999999	2619.8
Right-wm-caudalanteriorcingulate	98.9113	2348.3
Right-wm-caudalmiddlefrontal	98.0544	5054.7
Right-wm-cuneus	97.0155	2520.7
Right-wm-entorhinal	87.9459	947.2
Right-wm-fusiform	93.6665	5833.1
Right-wm-inferiorparietal	98.3475	10004.1
Right-wm-inferiortemporal	94.2598	5635.8
Right-wm-isthmuscingulate	99.8388	2940.5
Right-wm-lateraloccipital	97.2946	10393.1
Right-wm-lateralorbitofrontal	97.4176	7242.0
Right-wm-lingual	93.6249	6134.4
Right-wm-medialorbitofrontal	98.3335	3564.6
Right-wm-middletemporal	95.9763	5991.3
Right-wm-parahippocampal	91.1916	1519.5
Right-wm-paracentral	98.1852	4952.8
Right-wm-parsopercularis	98.9888	2295.1
Right-wm-parsorbitalis	99.7559	1401.0
Right-wm-parstriangularis	101.4381	2726.9
Right-wm-pericalcarine	95.4221	3425.5
Right-wm-postcentral	96.0589	7552.6
Right-wm-posteriorcingulate	99.1342	3973.4
Right-wm-precentral	97.7376	15348.5
Right-wm-precuneus	97.6115	8331.5
Right-wm-rostralanteriorcingulate	99.8025	1743.1
Right-wm-rostralmiddlefrontal	99.999	10784.9
Right-wm-superiorfrontal	98.2834	16564.1
Right-wm-superiorparietal	97.6337	10075.6
Right-wm-superiortemporal	96.585	6674.2
Right-wm-supramarginal	99.0879	8297.7
Right-wm-frontalpole	97.1172	298.3
Right-wm-temporalpole	91.8139	654.9
Right-wm-transversetemporal	94.0846	569.6
Right-wm-insula	93.3657	9248.7
Left-UnsegmentedWhiteMatter	99.0105	25076.4
Right-UnsegmentedWhiteMatter	97.6146	25597.5
