csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	a_comp_cor_161	a_comp_cor_162	a_comp_cor_163	a_comp_cor_164	a_comp_cor_165	a_comp_cor_166	a_comp_cor_167	a_comp_cor_168	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00
59309.70703125	n/a	3517641348.1327057	n/a	42523.2109375	n/a	n/a	1808223468.4351199	41622.625	n/a	n/a	1732442911.890625	n/a	n/a	n/a	0.0151137886	-0.0476963458	-0.0333387024	-0.026680740699999997	0.0629607496	-0.0515563429	0.028663598300000002	-0.0222938769	0.0914681633	0.018008600700000002	-0.0256467604	0.0891099793	-0.0378037876	0.0730671752	-0.058806687300000014	0.08414625220000001	-0.054891967699999995	0.0389594917	-0.0705822475	0.053607460499999995	-0.0015495224	0.0258329806	-0.0008552813	0.0650667045	-0.0072501990000000014	0.0022746559	-0.11533980960000001	0.0230514657	-0.162736789	-0.024121274100000003	0.0309442484	-0.0341961038	0.0296291314	0.0634178341	-0.008758725	-0.0674383482	0.1000245729	-0.0040553577000000006	0.0595013317	-0.000161656	0.0189857105	-0.032829077000000005	0.0588904313	-0.0565259671	0.0809545986	-0.028434858700000006	0.0839385466	-0.0011012274000000001	0.06617622570000001	-0.0610367828	0.0128447478	-0.1199525233	0.054602283099999996	-0.0992739138	0.0048376823	0.0172985614	-0.0765180321	0.029675137400000006	-0.0400242256	0.0483975207	0.0356934998	-0.0672757574	-0.0062090457	-0.0205058076	0.050861662300000006	-0.0795351687	0.08607695369999999	-0.0566262903	-0.0115611968	0.0342948335	0.0749656572	-0.0890051058	-0.00022521080000000002	0.0360621848	0.039297228999999996	-0.025145397000000003	-0.062437313700000004	0.04856929980000002	0.0591531639	0.1074458886	-0.0405068284	-0.0142282498	-0.0265950738	0.035729468	-0.06215207480000001	0.0416716933	-0.0586633231	0.1181369585	-0.021821823599999998	0.1380810123	0.0211806746	-0.0975933313	0.0034927096000000003	-0.0146686171	0.0787295761	-0.0413449925	0.059290110099999994	-0.0153795258	0.064708688	-0.0825656154	0.0096580437	0.019295348	-0.0498555021	0.069927589	-0.0484154295	0.08031696969999999	-0.13735325710000001	0.0197833297	-0.06230637	0.0171781085	-0.0421194724	0.0740073767	-0.0078349175	-0.0727173441	0.019879831599999998	-0.1006373602	0.0080955031	0.0388555944	-0.0562382321	-0.044057207699999996	0.043650113899999995	-0.04543076980000001	0.0370988065	-0.07303668719999999	0.011877179	-0.0254666153	0.0224958701	-0.0120442198	0.1340272301	-0.0025584284	0.060343208899999994	-0.0854642657	0.1453282397	-0.0054558699	0.021924119199999998	-0.0194693673	0.0187425754	-0.0209386497	0.0662981609	-0.014001418100000001	0.0915442157	0.0022363605	-0.0270131925	-0.0868322543	0.0094944058	0.002139986	-0.0340228797	0.0112885455	0.0183219525	-0.0078411899	-0.058742149	0.024363248799999997	-0.0323347431	0.0833974626	0.023472328799999997	0.1214953593	-0.0413773102	-0.023213887599999997	0.0907060083	-0.0402633639	-0.0204456449	-0.004213592800000001	0.015391581699999999	0.0694442189	-0.020758899299999998	-0.0613354065	0.0459804388	0.0837839637	-0.019282350900000002	-0.1022113424	0.0535874555	0.0800408745	0.0830442616	0.083040607	0.083034516	0.0830259889	0.0830150259	0.0830016274	0.0829857937	0.08296752519999999	9.63871e-06	n/a	n/a	9.29047304641e-11	0.0097866	n/a	n/a	9.577753956e-05	-0.0318452	n/a	0.00101411676304	n/a	0.0	n/a	0.0	n/a	0.000561165	n/a	3.1490615722499994e-07	n/a	0.0	n/a	0.0	n/a	0.0
59260.56640625	-49.140625	3511814730.789566	2414.801025390625	42512.6796875	-10.53125	110.9072265625	1807327934.211975	41574.3984375	-48.2265625	2325.8013305664067	1728430605.4400024	1.177435	17.630581	0.055039228710000006	-0.002444818	-0.10263367849999999	0.026452538900000003	-0.0782495797	0.0720576187	0.0480090305	-0.058779273	-0.0374176204	0.0555077444	0.0073227601	-0.0063662093999999995	0.0942809963	-0.0578219055	0.0880999081	-0.012800978000000001	0.0045363252	-0.0421022227	0.0486135378	-0.0053014868000000005	-0.0072511618	0.0761308839	0.0614056131	0.06112513400000001	0.04767189980000002	-0.0304623401	-0.0063437018000000005	-0.06478816379999999	0.067662157	-0.050923984299999996	-0.0145612821	-0.0760131027	0.10895883	0.08589662070000001	-0.0032794126	0.0342173546	0.0131191758	-0.0460011003	-0.0190593341	-0.0422675005	-0.1505139385	-0.0191120248	-0.0687571437	0.0429894001	0.070514087	0.0251274424	-0.034677609	-0.0153722309	-0.0857142932	-0.1042243834	0.0904938623	0.0015725207999999998	-0.0241901561	0.0442223135	-0.0644113416	0.0021431069	-0.0086238341	-0.07124440139999999	0.0222089205	0.106637242	-0.044222728899999994	0.0615037744	-0.0389913734	0.0440474328	-0.0791826189	-0.0196432112	-0.0790389522	-0.0011567228	-0.08732255859999999	-0.0119080652	0.0406903134	-0.0069644343999999995	-0.0334831489	-0.1261294337	-0.002631723	-0.01643817	0.1197463141	0.08045264490000001	0.0610474604	-0.0540858849	-0.0267246397	-0.0297116552	0.0623158315	-0.0818980133	0.0211943739	0.0547349193	0.055540666100000004	0.026175461299999998	0.0778679924	0.0205369339	0.0802831879	-0.007888212700000001	-0.0935959275	0.10233088050000001	0.0578538713	0.0203488041	-0.013093882900000001	-0.0050296475	0.0177468434	0.0697768709	-0.0660406693	-0.0038182619	0.0010468894	-0.0348985175	-0.0271740436	-0.0270991061	0.020232069	-0.051572106	-0.09779214	-0.0390854207	0.0324224256	-0.0255468641	0.0430544767	0.0353282802	0.0408260915	0.045369306500000005	0.1003978609	-0.0419103946	0.0642301032	0.0008518614999999999	-0.0034136708	-0.0397206351	-0.0041096136	0.0248929536	-0.07329436269999999	-0.1217748347	0.036977218799999996	0.041579028399999995	0.0071921025	0.0392541404	-0.1215349908	0.0287131879	-0.08760635369999999	0.041673043	-0.05535725	-0.065218151	0.008785625699999999	-0.0334199616	0.0347992389	0.0243783495	0.0214389819	-0.0067401514	0.1034588597	-0.00211643	0.0089244957	0.0103241748	0.15186085470000002	-0.0707775266	-0.0370650492	-0.124688631	0.0262513354	-0.09004421970000001	-0.0224324671	-0.0202613998	0.1414098941	-0.031004107200000002	-0.07168837019999999	-0.0024043538	0.051833825800000004	-0.0080588189	0.06845244290000001	-0.0711024768	0.0019450323	0.0745451908	0.031729604	0.0231870821	0.0582638709	-0.07277721969999999	-0.08838970269999999	-0.0436840351	-0.0050622242	0.009812499	-0.044723324800000006	0.083034516	0.0830016274	0.08294682269999999	0.0828701163	0.0827715286	0.0826510855	0.0825088188	0.0823447662	-0.00291269	-0.0029223287100000003	8.540005089290263e-06	8.4837630361e-06	-0.0285811	-0.0383677	0.00147208040329	0.0008168792772099999	-0.0318641	-1.890000000000225e-05	0.00101532086881	3.57210000000085e-10	0.0	0.0	0.0	0.0	0.000835771	0.00027460600000000005	6.985131644409999e-07	7.540845523600002e-08	0.0	0.0	0.0	0.0	0.0
59031.4765625	-229.08984375	3484715225.1489873	52482.15650939941	42500.81640625	-11.86328125	140.73744201660156	1806319395.1977687	41528.30859375	-46.08984375	2124.273696899414	1724600414.65773	1.204665	18.038317000000006	0.04891666642	0.0337954136	-0.0174710684	0.1184962562	0.014925354299999999	0.0194067603	0.0731044638	-0.0522324308	-0.0593402616	-0.0400031218	0.1153150356	-0.056104527800000005	-0.0292043389	-0.026351796099999998	0.1278723759	0.042116860199999995	0.0375237211	-0.1567348469	0.058949250700000004	-0.0732270322	-0.0189071421	-0.0630756724	0.0996218608	0.049969969	-0.04540042	-0.00448272	0.018634399	0.032058854399999996	-0.0824800923	0.021760027400000003	0.0795518217	-0.0059506099	-0.04779093	0.06398241360000001	0.0344125879	-0.0012600356	-0.075257642	-0.006150239300000001	-0.0442714864	0.031524263999999996	-0.0223677948	0.014990599399999999	0.10349846970000001	-0.0247386156	0.08604467130000001	0.013026510900000001	-0.026322439	0.0179818543	-0.0130311079	0.0170153095	-0.0531241151	-0.0389182261	0.079898762	-0.0863782543	-0.0261806431	0.0370662811	0.045815189900000004	-0.0584887824	-0.019460006499999998	0.06335675959999999	0.0401759989	0.0298099617	-0.053826514299999996	-0.0221503578	0.0158100238	0.0653917754	0.0051194439	-0.0967637714	-0.0411751794	0.0799435278	-0.0180017809	0.0526469341	-0.0367065047	0.021610997799999997	0.0590979829	-0.0353354244	0.0397385658	0.079084394	0.062328549800000015	-0.0042370039	0.026883476200000003	-0.1041150571	-0.0077169151	0.014790208899999999	0.014763914	0.11188938470000001	-0.016906797	-0.0113351701	0.0478646324	0.1155141634	0.0342517602	0.017931408500000003	0.0067325345	0.0695731364	0.0397038863	0.0621010116	0.024966185499999998	-0.0777411041	0.0742366426	-0.09495611779999999	-0.10614098429999999	0.1727657543	-0.0337675162	-0.071657309	-0.046356346	0.010126491500000001	-0.0502043719	-0.0237338026	-0.0740167281	0.0237261289	-0.0250945745	-0.0802090738	0.0332461829	0.0338773796	-0.08576467480000001	-0.0026902545	-0.0229869854	0.08088387080000001	0.041953587300000005	-0.030659315	-0.0244767317	0.0613853933	0.080033449	-0.0414094929	0.0864782624	-0.0794064885	0.023776384700000004	-0.0606432502	0.0704314869	0.021088433700000003	-0.0120090734	0.0180969299	-0.0205973733	-0.07731795309999999	-0.0764983974	0.056782617800000004	-0.0133272348	-0.08107499530000001	0.0395668424	0.019763396399999997	-0.0579829483	0.027631317599999997	-0.0241049238	-0.022411126	-0.05051433809999999	-0.09097952039999999	0.0591687428	0.0509105517	-0.011346348700000002	0.038344831600000004	0.0825190953	-0.0284106152	-0.0321455754	-0.0288862971	0.0311271802	-0.0174756604	-0.0316252023	0.0073929052	-0.0237581317	-0.035894556	0.1084583103	-0.055907528899999996	0.0968131954	-0.0700867755	0.09012977900000001	-0.070361843	-0.1547565596	0.0215388827	0.1271055191	-0.0009994317	-0.11088098210000001	-0.09616931699999999	-0.1073616259	0.0830150259	0.08292368650000001	0.0827715286	0.0825586637	0.08228524799999999	0.0819514821	0.0815576107	0.0811039227	4.92642e-06	0.00291761642	8.512485574253618e-06	2.42696140164e-11	-0.0351544	-0.006573300000000004	4.3208272890000057e-05	0.0012358318393599999	-0.011066500000000002	0.0207976	0.00012246742225000004	0.00043254016576	0.0	0.0	0.0	0.0	0.0004632080000000001	-0.000372563	2.1456165126400004e-07	1.3880318896899994e-07	0.0	0.0	0.0	0.0	0.0
59021.8125	-9.6640625	3483574350.785156	93.39410400390624	42530.65234375	29.8359375	890.1831665039062	1808856388.7849274	41612.3515625	84.04296875	7063.220596313477	1731587802.5610962	1.3565	20.311844	0.080874670225	0.06435801070000001	-0.010912778	-0.055189300999999996	0.015774655500000002	0.0426579012	-0.0229213124	-0.046622374	0.040249874399999996	0.10974432740000001	-0.05218220900000002	-0.0150468278	0.0034197014	0.0452073646	0.015851401499999997	-0.0338537663	0.0405757227	-0.009478998800000001	0.0517976366	0.0028336176000000003	0.0333070841	-0.0051270558	0.0566400274	0.1464874312	0.1334912887	-0.04867363809999999	-0.0902154785	-0.0859394906	-0.0703273645	-0.0219986548	0.0590301424	0.10886110339999999	0.0358749385	-0.031072274700000006	0.0477015265	-0.0133850065	0.034401265	0.0804365355	-0.0293281015	0.0763829872	0.0937312709	-0.015428266000000001	-0.054879078399999996	0.008975715799999999	0.0248036396	0.0228042245	-0.0155558983	-0.0284900882	0.0752984088	0.0562260426	0.046309240300000006	-0.0254969812	0.0303574605	-0.0073084328	0.0755796234	0.019367334	0.0386387359	0.0814572476	-0.0054936119	0.1015263127	-0.0049519268	0.041292313399999996	0.053945947300000005	0.019696757	0.017156754399999998	-0.0785091271	0.0386733147	0.048064854500000004	0.059124690099999995	0.11614064130000001	-0.060397121799999995	-0.122719883	0.023287158999999998	0.0341206389	0.032873836600000005	-0.0402793351	-0.0546966324	0.0313437889	-0.0066401975	0.050170685199999995	0.1500957001	0.011883061499999998	-0.0352295011	0.0041014649	0.05929888110000001	-0.0738569961	0.014838638700000004	-0.0058174602	0.0401755816	-0.09364974429999999	0.035935928900000004	0.0325071765	-0.025987219300000003	0.0047010174	0.08891246300000001	0.0037858288	-0.0726801723	0.0403771761	0.0031118214	0.0035490521999999997	0.008442077099999999	-0.025445241299999997	0.0086239349	-0.022460861699999998	-0.06654041849999999	-0.1103031533	-0.0338777486	0.0013406245	0.012473990800000001	-0.10234031689999999	0.0629309225	0.0071357392	0.1790742482	0.1315077221	-0.07253423690000001	-0.044693280599999996	0.005649570400000001	-0.0368664364	-0.0930097625	-0.0204116631	0.0479237001	-0.0120829979	0.0049893889	-0.00011215290000000004	-0.0800650913	-0.013880241100000001	-0.0650374763	0.054154925599999994	0.0377125076	-0.026282357000000003	0.0157282241	-0.0329440118	0.10214489119999999	0.0223965352	0.03885401	-0.0282085867	0.0140535031	-0.0200072619	0.0024439851999999997	-0.1578893793	-0.1121666153	-0.0246763031	0.0004205363	0.0081693545	0.0119212959	0.049838378600000004	-0.0470381389	0.0442246299	0.08989536529999999	0.0238880236	-0.0166377625	-0.0001181846	0.0073328770999999985	-0.0367142413	-0.0688827346	0.024920524	0.0158486928	0.12103690630000001	0.0119115212	-0.0257656573	0.019443251	0.0711800949	-0.014344647700000001	-0.0265738031	0.007307655400000002	0.0850226683	-0.0056557889	-0.0159258557	0.1805706639	0.137262103	0.0667366638	-0.045607659800000006	-0.045251729000000004	0.0829857937	0.0828068209	0.0825088188	0.0820922158	0.0815576107	0.0809057719	0.0801376364	0.0792543084	1.56195e-07	-4.770225e-06	2.2755046550625002e-11	2.4396878025000002e-14	0.0246378	0.0597922	0.0035751071808400006	0.0006070211888399999	-0.0318244	-0.020757900000000003	0.0010127924353600002	0.00043089041241000016	0.0	0.0	0.0	0.0	0.000456812	-6.396000000000093e-06	2.0867720334400002e-07	4.090881600000118e-11	0.0	0.0	0.0	0.0	0.0
59328.77734375	306.96484375	3519903821.1042633	94227.41529846193	42575.20703125	44.5546875	1985.120178222656	1812648253.7537997	41704.9765625	92.625	8579.390625	1739305070.0786743	1.355862	20.302292	0.11285202649500002	-0.0380888443	0.061579098799999996	0.0431376658	0.0018428327	-0.0623792066	0.0643928746	-0.0771910157	-0.058102168499999995	0.0586959558	0.0686833646	-0.0753600336	0.053391242	-0.0506487898	0.0255060433	0.0271779189	-0.0672665079	-0.0701929432	0.0440769983	-0.023358074399999998	-0.0943995351	0.0264921861	0.055230540099999996	-0.0089679072	0.1583240538	0.0498659024	0.0206839963	-0.0755868495	0.0095617153	0.05898795730000001	0.0003295126	0.0445113471	0.0805533865	-0.0997842614	-0.026461645099999997	0.0104285735	0.0660287315	-0.0713503408	-0.0672401418	0.0533789902	0.08898267550000001	-0.0160627822	-0.0342505538	-0.12194175039999999	-0.022545350899999997	0.0165635099	-0.1048761434	0.0016254117999999998	-0.0183924883	-0.0584289736	-0.0212903336	0.0758246098	0.0419245354	0.1050103818	0.036665426099999995	-0.0070815327	0.022273025099999996	0.0221966927	0.0244078289	-0.0092035316	0.0554805561	-0.0593403658	-0.0313643811	-0.16841316329999995	-0.038913454900000005	0.0166891396	0.0320189993	-0.0850455904	-0.0026567295	-0.010530103600000002	0.0171928669	-0.0487721934	-0.0750240707	0.050315354900000005	-0.029039338199999997	0.0020205853	-0.0084189601	-0.0166715944	0.0023197548	-0.0176457629	-0.0632498132	0.0791956213	0.0521680282	0.0287523307	-0.0701885319	0.0679847227	0.0625324245	0.052772310499999996	-0.059559699199999996	0.10728310740000001	0.0669158737	-0.0383584365	0.0235521489	0.0438854926	0.0787770644	0.0515719963	-0.036526938700000004	-0.022219382200000002	0.1046304168	-0.0054326808999999995	-0.11710651890000001	0.0163436016	-0.0279987075	0.0160082699	-0.023158968199999998	-0.058194943799999996	-0.0448328574	-0.0080274601	0.0314102602	-0.0949872573	0.1468089687	0.046020457699999996	0.0809095311	0.015183291299999999	0.0605350174	-0.1486492693	0.0978960824	0.0597532643	-0.05217977730000002	-0.0066779032	-0.051687650099999996	0.041665033500000004	0.015205869299999999	0.0141449999	-0.0074919190000000005	0.0131506002	-0.0568940826	0.1143614541	-0.04804874519999999	0.0042585058	0.0796142668	-0.0511278026	-0.0028004729	-0.0538914488	-0.0192057507	-0.0223061167	0.043782048	-0.0022847005	-0.0233797015	0.0222951568	0.0236386775	0.0413933855	-0.009474001	-0.0686827668	-0.0192105347	-0.0730549263	-0.07928927549999999	0.0132066248	-0.12794094609999998	0.0024051237	-0.0154258193	0.010974023500000001	-0.0399249632	-0.0279790541	0.0342738854	0.0485021895	0.0759894425	-0.0439931876	0.09287000849999999	-0.009537111800000001	-0.0181235189	-0.014703895900000001	-0.0671953507	-0.0060306712	0.0550510075	0.0126106936	0.0473382269	0.0084700065	-0.0051181051	-0.0192013429	0.014062328	0.0638797564	0.0013981414000000002	0.08294682269999999	0.0826510855	0.082158971	0.0814716484	0.0805907508	0.07951837120000001	0.0782570576	0.07680980679999999	-2.70803e-05	-2.7236495e-05	7.418266598850251e-10	7.333426480900001e-10	-0.041469699999999984	-0.06610749999999999	0.004370201556249997	0.0017197360180899993	-0.0120529	0.019771500000000004	0.00014527239841	0.00039091221225000017	0.000280709	0.000280709	7.879754268100003e-08	7.879754268100003e-08	0.000632088	0.0001752760000000001	3.995352397440001e-07	3.072167617600003e-08	8.293079999999998e-05	8.293079999999998e-05	6.877517588639997e-09	6.877517588639997e-09	0.0
59206.3828125	-122.39453125	3505395765.7402954	14980.421279907228	42583.0390625	7.83203125	61.34071350097656	1813315215.7984009	41675.19140625	-29.78515625	887.1555328369141	1736821578.747574	1.290887	19.329382	0.1055243899	-0.0084791742	0.0164396374	-0.09139912160000001	-0.0267582669	-0.0069226963	-0.1034971408	-0.0042433964	0.023742666699999998	0.0418935547	0.0089049105	-0.1017764407	-0.050970523200000006	0.0250527361	0.0295333573	0.032780209500000004	-0.071024499	-0.0365761081	-0.0198984815	-0.0526957202	0.0057860851	0.013549620200000001	-0.0122012371	0.0926255163	0.049853985499999996	0.040897788	-0.052853443300000004	0.0088695958	-0.0076650089	0.0054804497999999995	0.0304777215	0.0190970852	0.005866712	0.013592335700000001	0.09506568289999999	0.0347640315	-0.0650503225	0.0544264606	-0.0562592982	0.061268170999999996	0.0413303791	-0.0640649193	0.1575807835	0.04449463360000002	0.0250440217	-0.027013677799999997	-0.0464840574	0.022683787599999998	0.0070270906999999995	0.089103004	0.0274385995	-0.11163290109999999	0.0165835285	0.030201784900000007	0.0706190257	0.1134467416	0.045064210800000004	0.0790803585	0.0031884899	-0.0380950069	-0.0346405983	-0.08382538980000001	-0.0158282953	0.004168052199999999	0.0630826775	0.0036168807	-0.044932785999999995	0.060696641100000004	0.0350898651	-0.073717667	-0.1197133862	0.0705679687	0.0362258204	-0.0444724168	-0.0798794538	-0.0002780671	-0.0033713231	0.0116633006	0.0372570582	-0.0495057224	-0.000105554	-0.044427932	-0.0400327272	-0.0045443787	-0.010686237099999999	-0.08898736460000001	-0.06539792030000001	-0.055766156399999996	-0.0239928578	-0.0021882782	-0.0254115171	-0.030073385299999998	-0.0728529626	-0.0660365832	0.017331367099999998	0.0359531704	-0.022872507799999997	0.0542201759	0.0366739437	-0.0814787828	-0.0019676369	0.0394536551	-0.0640987034	0.015147558700000001	-0.0347610302	-0.0253090925	0.049326122800000004	0.0191692446	0.0115970945	0.0197759272	0.021262203599999998	0.06482006139999999	0.0753857379	0.0694063382	-0.0539775597	-0.010728888	-0.1139587203	0.06121754	0.042734448099999996	-0.06728396980000001	0.011293900700000001	-0.0300032777	0.10429721189999999	0.06987786259999999	0.019561103	0.0165183548	-0.001811707	0.0104321729	-0.008182917	-0.124429386	0.0559753026	0.0604879204	0.0160422385	0.024914975699999998	-0.030061868199999998	-0.006170476899999999	-0.006267258100000001	-0.0228783454	-0.1328547021	-0.0265849401	0.0339567962	-0.0805854341	0.0351196717	-0.0003139089	-0.07248249799999999	0.0509718612	-0.09266029390000001	0.0776711682	0.0173655111	0.040146151	0.0189428341	0.0545736654	0.0423283025	0.038393152	-0.0804051027	-0.0656944905	-0.0256369319	-0.0068295778	0.014888686100000001	0.0156899334	0.0008814033	-0.0361225435	-0.0515465658	0.0346709997	-0.0023282960999999997	-0.0398477948	0.0440312299	-0.023337263599999998	0.027076561699999998	-0.0364768334	0.0518649291	0.0783208462	-0.0103347551	0.0828981175	0.0824565533	0.0817223544	0.08069812650000001	0.0793875044	0.0777951396	0.0759266832	0.0737887663	-2.22754e-05	4.804900000000001e-06	2.308706401000002e-11	4.961934451600002e-10	0.0305695	0.0720392	0.005189646336640001	0.0009344943302500001	0.00571989	0.01777279	3.27171416121e-05	0.0003158720643841	7.44238e-05	-0.0002062852	5.538902006440001e-09	4.2553583739040006e-08	0.000535224	-9.6864e-05	2.8646473017600004e-07	9.382634495999999e-09	7.19281e-05	-1.1002699999999984e-05	5.17365156961e-09	1.210594072899996e-10	0.0
